metric_name,entity_name,currency,date,item_segment,category_name,value,quarter_start,quarter_end
Gross Merchandise Volume - Total,eBay,USD,2021-10-31,United States,Home & Garden,7910252.343064,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-09-21,United States,Collectibles & Art,10673545.551668,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-08-04,International,Cell Phones & Telecom,4824307.684398,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-08-03,International,Sports,8447381.382034,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-07-18,United States,Computers,6266324.089976,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-07-11,International,Remaining Categories,391655.881112,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-04-23,United States,Sports,15722333.557606,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-02-22,United States,Computers,8556446.378438,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-02-13,International,Toys & Hobbies,7864809.133860,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-02-01,United States,Remaining Categories,560565.636453,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-01-26,International,Tickets & Travel,93443.225055,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-12-30,United States,Home & Garden,8314906.803735,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-09-30,United States,Musical Instruments,1520717.383498,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-09-19,United States,Tickets & Travel,43917.024521,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-08-10,International,Sports,12715114.753559,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-06-14,International,Computers,7448880.692967,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-05-22,International,Tickets & Travel,184444.751220,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-05-07,United States,Video Games,2996592.346000,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-04-02,United States,Clothing & Accessories,10272502.987634,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-03-29,United States,Parts & Accessories,16601110.634277,2020-01-01,2020-03-31
